Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight,Mileage
13500,23,46986,Diesel,90,1,0,2000,3,1165,29196
13750,23,72937,Diesel,90,1,0,2000,3,1165,45321
13950,24,41711,Diesel,90,1,0,2000,3,1165,25918
14950,26,48000,Diesel,90,0,0,2000,3,1165,29826
13750,30,38500,Diesel,90,0,0,2000,3,1170,23923
12950,32,61000,Diesel,90,0,0,2000,3,1170,37904
16900,27,94612,Diesel,90,1,0,2000,3,1245,58789
18600,30,75889,Diesel,90,1,0,2000,3,1245,47155
21500,27,19700,Petrol,192,0,0,1800,3,1185,12241
12950,23,71138,Diesel,69,0,0,1900,3,1105,44203
20950,25,31461,Petrol,192,0,0,1800,3,1185,19549
19950,22,43610,Petrol,192,0,0,1800,3,1185,27098
19600,25,32189,Petrol,192,0,0,1800,3,1185,20001
21500,31,23000,Petrol,192,1,0,1800,3,1185,14292
22500,32,34131,Petrol,192,1,0,1800,3,1185,21208
22000,28,18739,Petrol,192,0,0,1800,3,1185,11644
22750,30,34000,Petrol,192,1,0,1800,3,1185,21127
17950,24,21716,Petrol,110,1,0,1600,3,1105,13494
16750,24,25563,Petrol,110,0,0,1600,3,1065,15884
16950,30,64359,Petrol,110,1,0,1600,3,1105,39991
15950,30,67660,Petrol,110,1,0,1600,3,1105,42042
16950,29,43905,Petrol,110,0,1,1600,3,1170,27281
15950,28,56349,Petrol,110,1,0,1600,3,1120,35014
16950,28,32220,Petrol,110,1,0,1600,3,1120,20021
16250,29,25813,Petrol,110,1,0,1600,3,1120,16039
15950,25,28450,Petrol,110,1,0,1600,3,1120,17678
17495,27,34545,Petrol,110,1,0,1600,3,1120,21465
15750,29,41415,Petrol,110,1,0,1600,3,1120,25734
16950,28,44142,Petrol,110,0,0,1600,3,1120,27429
17950,30,11090,Petrol,110,1,0,1600,3,1120,6891
12950,29,9750,Petrol,97,1,0,1400,3,1100,6058
15750,22,35199,Petrol,97,1,0,1400,3,1100,21872
15950,27,29510,Petrol,97,1,0,1400,3,1100,18337
14950,26,32692,Petrol,97,1,0,1400,3,1100,20314
15500,22,41000,Petrol,97,1,0,1400,3,1100,25476
15750,26,43000,Petrol,97,0,0,1400,3,1100,26719
15950,25,25000,Petrol,97,0,0,1400,3,1100,15534
14950,23,10000,Petrol,97,1,0,1400,3,1100,6214
15750,32,25329,Petrol,97,1,0,1400,3,1100,15739
14750,27,27500,Petrol,97,0,0,1400,3,1100,17088
13950,22,49059,Petrol,97,0,0,1400,3,1100,30484
16750,27,44068,Petrol,97,1,0,1400,3,1100,27383
13950,22,46961,Petrol,97,0,0,1400,3,1100,29180
16950,27,110404,Diesel,90,0,0,2000,5,1255,68602
16950,22,100250,Diesel,90,0,0,2000,5,1255,62292
19000,23,84000,Diesel,90,0,0,2000,5,1270,52195
17950,27,79375,Diesel,90,1,0,2000,5,1255,49321
15800,22,75048,Petrol,97,1,0,1400,5,1110,46633
17950,22,72215,Diesel,90,1,0,2000,5,1255,44872
21950,31,64982,Petrol,192,1,0,1800,5,1195,40378
17950,22,62636,Diesel,90,1,0,2000,5,1255,38920
15750,30,57086,Petrol,97,1,0,1400,5,1110,35472
20500,26,56000,Petrol,110,1,1,1600,5,1180,34797
21950,27,49866,Petrol,192,1,0,1800,5,1195,30985
15500,25,49163,Petrol,110,0,1,1600,5,1165,30548
13250,32,45725,Petrol,110,1,0,1600,5,1075,28412
15250,28,43210,Petrol,97,0,0,1400,5,1110,26849
15250,26,43000,Petrol,97,0,0,1400,5,1110,26719
18950,23,39704,Petrol,110,1,1,1600,5,1180,24671
15999,30,38950,Petrol,110,1,0,1600,5,1130,24202
14950,22,37400,Petrol,97,1,0,1400,5,1110,23239
16500,27,37177,Petrol,110,0,0,1600,5,1130,23101
18750,31,36544,Petrol,110,1,0,1600,5,1130,22707
17950,30,33511,Petrol,110,1,0,1600,5,1130,20823
17950,27,32809,Petrol,97,1,0,1400,5,1110,20387
16950,26,32181,Petrol,110,1,0,1600,5,1075,19996
18950,28,30993,Petrol,110,1,0,1600,5,1130,19258
14950,22,30400,Petrol,97,1,0,1400,5,1110,18890
22250,22,30000,Diesel,110,1,0,2000,5,1275,18641
15950,25,29719,Petrol,97,1,0,1400,5,1110,18467
15950,28,29206,Petrol,97,1,0,1400,5,1110,18148
12995,32,29198,Petrol,97,1,0,1400,5,1060,18143
18950,28,28817,Petrol,110,1,0,1598,5,1130,17906
15750,23,28227,Petrol,97,1,0,1400,5,1110,17539
19950,28,28000,Petrol,110,0,0,1600,5,1130,17398
16950,23,28000,Petrol,110,1,0,1600,5,1115,17398
18750,31,25266,Petrol,110,1,0,1600,5,1130,15700
18450,27,23489,Petrol,110,0,0,1600,5,1115,14595
16895,29,22575,Petrol,110,1,0,1600,5,1115,14027
14900,30,22000,Petrol,97,1,0,1400,5,1110,13670
18950,25,20019,Petrol,110,1,1,1600,5,1180,12439
17250,29,20000,Petrol,110,1,0,1600,5,1115,12427
15450,25,17003,Petrol,97,1,0,1400,5,1110,10565
17950,31,16238,Petrol,110,1,1,1600,5,1180,10090
16650,25,15414,Petrol,97,1,0,1400,5,1110,9578
17450,28,8537,Petrol,110,1,0,1600,5,1130,5305
14900,30,7000,Petrol,97,1,0,1400,5,1100,4350
17950,20,66966,Diesel,90,1,0,2000,3,1245,41611
15950,19,51884,Petrol,97,1,0,1400,3,1100,32239
21950,19,50005,Diesel,110,1,0,2000,3,1265,31072
16450,20,48110,Petrol,97,1,0,1400,3,1100,29894
22250,20,37500,Diesel,90,1,0,2000,3,1260,23301
19950,16,34472,Diesel,90,1,0,1995,3,1260,21420
15950,20,33329,Petrol,97,1,0,1400,3,1100,20710
18900,20,31850,Petrol,110,0,0,1600,3,1120,19791
19950,17,30351,Diesel,90,1,0,1995,3,1260,18859
15950,19,29435,Petrol,97,1,0,1400,3,1100,18290
15950,19,25948,Petrol,97,1,0,1400,3,1100,16123
18750,11,24500,Petrol,110,1,0,1600,3,1120,15224
17450,18,23902,Petrol,97,1,0,1400,3,1100,14852
18990,20,23175,Petrol,110,1,0,1600,3,1120,14400
16250,19,19200,Petrol,97,1,0,1400,3,1100,11930
18500,13,18000,Petrol,71,0,0,1400,3,1125,11185
18500,11,16123,Petrol,110,1,0,1600,3,1105,10018
19450,11,14635,Petrol,110,1,1,1600,3,1155,9094
16950,19,13748,Petrol,97,1,0,1400,3,1100,8543
18800,14,11500,Petrol,110,1,0,1600,3,1045,7146
17450,17,10000,Petrol,97,1,0,1400,3,1100,6214
17950,20,7187,Petrol,110,1,0,1600,3,1105,4466
32500,4,1,Diesel,116,0,0,2000,5,1480,1
31000,4,4000,Diesel,116,1,0,2000,5,1480,2485
31275,4,1500,Diesel,116,1,0,2000,5,1480,932
24950,8,13253,Diesel,116,1,0,2000,5,1320,8235
24950,8,13253,Diesel,116,1,0,2000,5,1320,8235
22950,7,10000,Diesel,116,1,0,2000,5,1270,6214
24990,8,6000,Diesel,90,1,0,2000,5,1280,3728
21950,8,10841,Diesel,90,1,0,2000,5,1270,6736
17900,7,1,Petrol,110,1,0,1600,3,1105,1
19250,20,63000,Diesel,90,1,0,2000,5,1255,39146
22250,17,57313,Diesel,110,1,0,2000,5,1275,35613
18950,13,57037,Petrol,110,0,0,1600,5,1115,35441
19950,19,51099,Diesel,90,1,0,2000,5,1255,31751
16350,14,40010,Petrol,110,1,0,1600,5,1115,24861
18950,20,39115,Petrol,110,1,0,1600,5,1130,24305
16950,17,36012,Petrol,110,0,0,1600,5,1130,22377
21750,16,36000,Petrol,110,1,0,1600,5,1130,22369
15950,20,36000,Petrol,110,1,0,1600,5,1075,22369
16500,20,35000,Petrol,97,1,0,1400,5,1110,21748
17950,17,33740,Petrol,97,1,0,1400,5,1135,20965
15850,13,33477,Petrol,110,1,0,1600,5,1075,20802
16250,20,32627,Petrol,97,1,0,1400,5,1110,20273
15950,20,29797,Petrol,97,1,0,1400,5,1110,18515
16250,19,29441,Petrol,97,1,0,1400,5,1110,18294
15950,13,29371,Petrol,110,1,0,1600,4,1105,18250
16500,20,29000,Petrol,97,0,0,1400,5,1110,18020
16500,19,27821,Petrol,97,0,0,1400,5,1110,17287
18450,19,27371,Petrol,97,0,0,1400,5,1135,17008
16250,13,25170,Petrol,110,1,0,1600,5,1105,15640
23000,11,25000,Diesel,116,1,0,2000,5,1320,15534
19900,20,23000,Petrol,110,1,0,1600,5,1130,14292
16450,20,22588,Petrol,97,1,0,1400,5,1110,14036
23950,19,21684,Petrol,192,1,0,1800,5,1185,13474
19950,13,21428,Petrol,110,1,0,1600,5,1130,13315
18500,16,20629,Petrol,110,1,0,1600,4,1090,12818
18950,15,20270,Petrol,110,1,0,1600,5,1130,12595
16450,16,20105,Petrol,97,0,0,1400,5,1110,12493
20500,20,20000,Petrol,110,0,1,1600,5,1165,12427
24500,13,19988,Petrol,110,1,0,1600,5,1130,12420
19450,19,18328,Petrol,110,0,0,1600,5,1130,11388
20950,14,17896,Petrol,110,1,1,1600,4,1150,11120
17200,20,17300,Petrol,97,1,0,1400,5,1110,10750
19950,19,17038,Petrol,110,0,0,1600,5,1130,10587
18450,10,13747,Petrol,97,1,0,1400,5,1110,8542
19500,12,13634,Petrol,110,1,0,1600,5,1115,8472
21750,13,13178,Petrol,110,1,0,1600,5,1130,8188
16868,15,13157,Petrol,97,1,0,1400,4,1085,8175
19500,16,13000,Petrol,110,1,0,1600,4,1105,8078
18900,11,12500,Petrol,110,1,0,1600,5,1115,7767
19750,17,11999,Petrol,110,1,0,1600,5,1130,7456
19750,16,11754,Petrol,110,0,1,1600,5,1180,7304
18950,16,11000,Petrol,110,1,0,1600,4,1105,6835
20750,17,10000,Petrol,110,0,0,1598,5,1105,6214
19600,9,7650,Petrol,110,1,0,1600,5,1115,4753
19500,14,6500,Petrol,110,1,0,1600,4,1100,4039
17650,11,6155,Petrol,97,1,0,1400,5,1110,3825
19950,14,6000,Petrol,110,0,0,1600,5,1130,3728
19950,14,5459,Petrol,110,1,0,1600,5,1130,3392
20950,14,5278,Petrol,110,1,1,1600,4,1150,3280
20500,12,5000,Petrol,110,1,0,1600,5,1130,3107
17795,9,1,Petrol,98,1,0,1400,4,1065,1
18245,9,1,Petrol,110,1,0,1600,5,1075,1
23750,8,11000,Petrol,110,1,0,1600,5,1130,6835
19500,8,10077,Petrol,97,1,0,1400,5,1110,6262
18950,8,10000,Petrol,97,1,0,1400,5,1110,6214
21950,8,9788,Petrol,110,1,0,1600,5,1130,6082
19950,8,8574,Petrol,110,1,0,1600,5,1130,5328
18950,8,7000,Petrol,110,0,0,1600,5,1115,4350
19950,7,6250,Petrol,110,1,0,1600,5,1115,3884
21950,8,5000,Petrol,110,1,0,1600,5,1130,3107
22500,6,3000,Petrol,110,0,0,1600,5,1130,1864
18500,7,2000,Petrol,110,0,0,1600,5,1075,1243
18700,7,450,Petrol,97,1,0,1400,5,1110,280
21125,2,225,Petrol,97,1,0,1400,5,1110,140
21500,2,15,Petrol,110,1,0,1600,5,1130,9
17795,1,1,Petrol,98,1,0,1400,4,1100,1
18245,1,1,Petrol,110,1,0,1600,5,1075,1
6950,43,243000,Diesel,69,0,0,1900,3,1110,150993
9500,38,180638,Diesel,90,0,0,2000,4,1160,112243
11950,40,179860,Diesel,90,1,0,2000,5,1205,111760
7750,43,178858,CNG,110,0,0,1600,3,1084,111137
11950,40,161000,Diesel,69,1,0,1900,3,1105,100041
4350,44,158320,Diesel,69,0,0,1800,5,1110,98375
4750,44,131273,Diesel,69,1,0,1800,5,1110,81569
11750,40,130062,Diesel,69,1,0,1900,5,1140,80817
13250,41,123425,Diesel,69,1,0,1900,5,1140,76693
11950,37,118217,Petrol,110,1,0,1600,5,1075,73457
11900,44,110000,Diesel,69,1,0,1900,5,1095,68351
14750,39,108847,Diesel,90,1,0,2000,5,1205,67634
9950,42,105699,Petrol,97,1,0,1400,3,1025,65678
11950,39,98823,CNG,110,1,0,1600,5,1119,61406
11495,44,96829,Petrol,110,1,0,1600,5,1075,60167
11250,40,96518,Petrol,97,1,0,1400,3,1025,59973
10500,42,92204,Petrol,110,1,0,1600,5,1075,57293
10450,35,91456,Diesel,69,1,0,1900,3,1110,56828
12950,43,89968,Diesel,69,1,0,1900,5,1140,55904
11500,44,89757,Petrol,110,1,0,1600,3,1045,55772
12500,40,85389,Petrol,110,1,0,1600,5,1075,53058
10950,43,85017,Petrol,97,0,0,1400,5,1060,52827
11450,41,84312,Petrol,110,0,0,1600,5,1080,52389
11950,37,82743,CNG,110,1,0,1600,5,1121,51414
13250,41,81106,Diesel,69,1,0,1900,5,1140,50397
14750,40,80425,Diesel,90,1,0,2000,5,1205,49974
11790,34,78677,Petrol,110,1,1,1600,5,1105,48888
11450,40,78425,Petrol,110,1,0,1600,5,1075,48731
13500,33,78108,Diesel,90,1,0,2000,3,1170,48534
10950,33,77321,Petrol,110,1,0,1600,5,1075,48045
13500,33,75699,Diesel,69,0,0,1900,3,1105,47037
10950,41,75697,Petrol,97,1,0,1400,3,1025,47036
10950,44,74846,Petrol,97,1,0,1400,3,1025,46507
12950,38,74319,Petrol,110,1,0,1600,5,1075,46180
11950,43,74285,Petrol,110,1,0,1600,5,1075,46159
12450,44,74172,Petrol,110,1,0,1600,5,1615,46088
11950,40,73042,Petrol,110,1,0,1598,5,1075,45386
14950,44,71793,CNG,110,1,0,1600,4,1067,44610
12450,35,71200,Petrol,110,1,0,1600,5,1075,44242
12950,38,67805,Petrol,110,1,0,1600,5,1075,42132
11950,35,65988,Petrol,110,1,0,1600,3,1040,41003
11690,34,65345,Petrol,97,1,0,1400,5,1060,40603
12450,42,64564,Petrol,110,1,0,1600,5,1080,40118
12750,36,63459,Petrol,97,1,0,1400,5,1060,39432
11925,44,63451,Petrol,97,0,0,1400,3,1025,39427
12950,33,62000,Petrol,110,1,0,1600,5,1075,38525
11950,42,61300,Petrol,97,1,0,1400,3,1030,38090
12900,41,61200,Petrol,110,1,0,1600,3,1045,38028
11900,41,61000,Petrol,110,0,0,1600,5,1075,37904
11650,38,60829,Petrol,110,1,0,1600,5,1075,37797
10950,44,60500,Petrol,110,0,0,1600,5,1075,37593
13950,35,59500,Diesel,69,1,0,1900,3,1110,36972
13950,44,59000,Petrol,110,0,1,1600,5,1110,36661
11950,40,58954,Petrol,110,1,0,1600,5,1080,36632
10950,38,58798,Petrol,110,1,0,1600,5,1075,36535
12450,38,58363,Petrol,110,1,0,1600,3,1055,36265
11950,43,58277,Petrol,110,1,0,1600,3,1045,36212
13500,33,57711,Diesel,90,1,0,2000,3,1165,35860
11690,33,57269,Petrol,110,1,0,1600,5,1075,35585
13500,39,56001,Petrol,110,1,0,1600,5,1075,34797
11950,42,55968,Petrol,110,0,0,1600,3,1050,34777
12900,39,55678,Petrol,110,1,0,1600,4,1030,34597
13500,43,55539,Petrol,110,1,0,1600,5,1085,34510
11750,42,55400,Petrol,110,0,0,1600,5,1075,34424
11750,33,55350,Petrol,110,0,0,1600,5,1075,34393
10850,43,54600,Petrol,110,0,0,1600,4,1030,33927
11750,43,53773,Petrol,110,1,0,1600,5,1075,33413
14950,42,53719,Petrol,110,1,1,1600,5,1105,33379
9940,39,53644,Petrol,110,1,0,1600,5,1075,33333
12900,42,53350,Petrol,110,0,0,1600,5,1075,33150
13500,38,53000,Petrol,110,1,0,1600,5,1075,32933
11750,44,52084,Petrol,97,1,0,1400,3,1025,32363
11950,44,52000,Petrol,97,0,0,1400,3,1025,32311
13450,33,51945,Petrol,110,1,0,1600,5,1075,32277
11950,41,51732,Petrol,97,1,0,1400,3,1025,32145
12495,39,50873,Petrol,110,1,0,1600,5,1075,31611
13500,41,50856,Petrol,110,0,0,1600,4,1030,31600
12750,40,50640,Petrol,110,1,0,1600,5,1075,31466
12000,39,50000,Petrol,97,1,0,1400,5,1060,31069
11950,38,49500,Petrol,110,1,0,1600,5,1075,30758
12495,44,49332,Petrol,110,1,0,1600,5,1080,30653
12450,34,49291,Petrol,110,1,0,1600,3,1040,30628
14750,40,48952,Diesel,90,1,0,2000,5,1205,30417
10950,39,48945,Petrol,110,0,0,1600,3,1040,30413
13500,33,48928,Diesel,69,1,0,1900,3,1105,30402
12950,38,48197,Petrol,110,1,0,1600,5,1075,29948
13500,35,48052,Diesel,69,1,0,1900,3,1105,29858
13450,34,48011,Petrol,110,1,0,1600,4,1030,29833
13500,43,48000,Petrol,110,1,0,1600,5,1075,29826
11480,41,47350,Petrol,110,1,0,1600,5,1075,29422
13450,39,46821,Petrol,97,1,0,1400,5,1060,29093
11495,39,46694,Petrol,110,0,0,1600,3,1040,29014
12750,43,46515,Petrol,97,0,0,1400,5,1025,28903
14990,38,46327,Petrol,110,1,0,1600,3,1055,28786
12950,35,46304,Petrol,97,1,0,1400,5,1060,28772
12950,40,45886,Petrol,110,1,0,1600,5,1080,28512
12850,39,45713,Petrol,97,1,0,1400,5,1085,28405
13950,40,45600,Petrol,110,1,1,1600,5,1105,28335
11950,41,45287,Petrol,110,1,0,1600,5,1075,28140
12950,39,45081,Petrol,110,1,0,1600,5,1075,28012
11700,40,44830,Petrol,110,1,0,1600,5,1075,27856
9950,37,44757,Petrol,97,0,0,1400,3,1025,27811
11895,44,44218,Petrol,97,1,0,1400,5,1060,27476
12950,43,43632,Petrol,110,1,0,1600,5,1075,27112
12500,36,43427,Petrol,110,1,0,1600,3,1040,26984
13875,39,43254,Petrol,110,1,0,1600,5,1075,26877
10500,35,43000,Petrol,110,0,0,1600,3,1050,26719
12295,33,42823,Petrol,110,1,0,1600,5,1075,26609
13950,42,42560,Petrol,110,1,0,1600,5,1080,26446
10950,38,41754,Petrol,110,0,0,1600,3,1040,25945
12950,44,41499,CNG,110,1,0,1600,5,1103,25786
12850,40,41339,Petrol,110,1,0,1600,5,1080,25687
13995,35,41000,Petrol,110,1,0,1600,5,1075,25476
13750,39,40000,Petrol,110,1,0,1600,3,1055,24855
12750,37,39757,Petrol,110,1,0,1600,5,1075,24704
12500,41,39659,Petrol,110,1,0,1600,3,1045,24643
13950,43,39650,Petrol,110,0,0,1600,3,1055,24637
11500,39,39524,Petrol,97,1,0,1398,3,1025,24559
13950,44,39516,Petrol,97,1,0,1400,5,1060,24554
11895,41,39439,Petrol,97,0,0,1400,5,1060,24506
9950,44,39000,Petrol,97,1,0,1400,3,1025,24233
13500,42,38932,Petrol,110,1,0,1600,3,1040,24191
11450,37,38812,Petrol,97,0,0,1400,3,1025,24117
12450,42,38665,Petrol,110,1,0,1600,5,1075,24025
12950,40,38653,Petrol,110,1,0,1600,5,1080,24018
13995,44,38461,Petrol,110,1,0,1600,5,1080,23899
11750,42,38078,Petrol,97,0,0,1400,3,1025,23661
11650,39,37782,Petrol,97,1,0,1400,5,1060,23477
9950,43,37576,Petrol,97,0,0,1400,3,1030,23349
13950,41,37533,Petrol,110,1,0,1600,5,1075,23322
12950,44,37389,Petrol,110,1,0,1600,5,1080,23232
10950,38,37320,Petrol,97,1,0,1400,3,1025,23190
9900,42,37000,Petrol,97,1,0,1400,3,1025,22991
11950,44,37000,Petrol,110,0,0,1600,4,1075,22991
11990,40,36566,Petrol,110,0,0,1600,5,1090,22721
10750,36,36269,Petrol,110,1,0,1600,5,1075,22537
13950,37,36074,Petrol,110,1,1,1600,5,1075,22415
11250,44,36066,Petrol,110,1,0,1600,3,1040,22410
12950,39,34599,Petrol,110,1,0,1600,5,1075,21499
11950,41,34000,Petrol,110,1,0,1600,5,1075,21127
10950,42,33623,Petrol,97,1,0,1400,3,1025,20892
12950,33,33591,Petrol,110,1,0,1600,5,1075,20872
12950,35,33258,Petrol,110,1,0,1600,5,1075,20666
11695,43,33113,Petrol,110,1,0,1600,5,1075,20575
11000,41,33000,Petrol,110,1,1,1600,5,1075,20505
13950,35,32941,Petrol,110,1,0,1600,5,1080,20469
11950,38,32781,Petrol,110,0,0,1600,5,1075,20369
11750,40,32532,Petrol,110,1,0,1600,3,1040,20214
12400,34,32431,Petrol,97,1,0,1400,5,1060,20152
12500,35,32000,Petrol,110,0,0,1600,3,1040,19884
12900,33,31000,Petrol,110,1,0,1600,5,1075,19263
12200,41,30989,Petrol,110,0,0,1600,3,1045,19256
12750,43,30742,Petrol,110,1,0,1600,3,1040,19102
11950,42,30190,Petrol,110,1,0,1600,5,1075,18759
11900,41,29716,Petrol,116,1,0,1600,5,1075,18465
11950,44,29716,Petrol,110,1,1,1600,3,1070,18465
14950,42,29640,Petrol,110,0,0,1600,3,1055,18417
11950,41,29056,Petrol,97,1,0,1400,5,1060,18055
12950,33,28715,Petrol,110,1,0,1600,5,1075,17843
14950,41,28571,Petrol,110,0,0,1600,5,1090,17753
13450,40,28362,Petrol,110,1,0,1600,3,1040,17623
13750,38,28150,Petrol,110,1,0,1600,5,1075,17492
12950,43,27301,Petrol,110,1,0,1600,3,1040,16964
12750,33,27240,Petrol,110,1,0,1600,5,1075,16926
11895,39,27170,Petrol,97,1,0,1400,5,1060,16883
9950,42,27141,Petrol,97,1,0,1400,5,1060,16865
12450,38,26262,Petrol,110,1,0,1600,5,1075,16318
12500,38,26000,Petrol,97,1,0,1400,5,1060,16156
14950,43,25228,Petrol,110,1,0,1600,3,1045,15676
13750,39,25062,Petrol,110,1,0,1600,5,1080,15573
12695,39,24723,Petrol,110,1,1,1600,4,1060,15362
14990,33,24650,Petrol,110,1,0,1600,3,1055,15317
12750,43,24553,Petrol,110,1,0,1600,5,1080,15257
14350,41,24475,Petrol,110,1,0,1600,5,1030,15208
12950,39,24444,Petrol,110,1,0,1600,3,1040,15189
11500,35,24011,Petrol,97,0,0,1400,3,1025,14920
11950,41,24000,Petrol,97,1,0,1400,3,1025,14913
13450,40,23616,Petrol,110,1,0,1600,5,1075,14674
12900,38,22865,Petrol,110,1,0,1600,5,1075,14208
10500,41,22780,Petrol,86,1,0,1300,5,1035,14155
10950,35,21904,Petrol,97,0,0,1400,3,1025,13611
11950,41,21651,Petrol,97,0,0,1400,3,1025,13453
11450,37,21500,Petrol,110,1,0,1600,5,1030,13359
13250,44,21027,Petrol,110,1,0,1600,5,1080,13066
10250,39,18500,Petrol,110,0,0,1600,4,1030,11495
13995,35,18000,Petrol,110,1,0,1600,5,1075,11185
11950,40,17051,Petrol,97,0,0,1400,5,1060,10595
13250,33,16512,Petrol,97,1,0,1400,5,1085,10260
12950,40,16325,Petrol,110,1,0,1600,5,1080,10144
11750,38,16000,Petrol,97,1,0,1400,5,1060,9942
11500,39,12000,Petrol,110,1,0,1600,5,1075,7456
13500,43,10000,Petrol,97,1,0,1400,5,1060,6214
6500,53,216000,Diesel,69,0,0,1900,3,1110,134216
6400,51,198167,Diesel,69,0,0,1900,4,1095,123135
7000,53,176000,Diesel,69,0,0,1900,3,1105,109361
7750,54,174139,Diesel,72,1,0,2000,4,1100,108205
8900,45,174000,Diesel,69,1,0,1900,5,1095,108119
8500,55,150000,CNG,110,1,0,1600,3,1075,93206
8950,54,149329,Diesel,72,1,0,2000,5,1135,92789
9900,51,146736,Petrol,110,1,0,1600,5,1080,91177
10250,53,143513,Diesel,69,0,0,1900,5,1140,89175
9250,48,142130,CNG,110,0,0,1600,5,1119,88315
7750,48,140700,Diesel,69,1,0,1900,5,1110,87427
9450,54,138394,Diesel,69,1,0,1900,4,1095,85994
7750,55,137000,Diesel,72,1,0,2000,5,1135,85128
8250,52,135258,Diesel,69,1,0,1900,5,1140,84045
9950,49,131364,Petrol,110,1,0,1600,5,1075,81626
4450,56,129155,Diesel,69,0,0,1800,5,1110,80253
9950,50,126110,Petrol,110,0,0,1600,3,1055,78361
9000,48,119742,Petrol,110,1,0,1600,5,1080,74404
9950,53,117913,Diesel,69,1,0,1900,5,1110,73268
12450,47,117430,Diesel,90,1,0,2000,3,1165,72968
